filename,type,min support,trans,items,len of frequentItemset,time
Data/Bakery-formatted-number-TOP20.csv,BRUTE FORCE,0.01,5000,8825,49,565.0176215171814
Data/Market_Basket-number-TOP10.csv,BRUTE FORCE,0.01,5000,10083,97,0.6329336166381836
Data/Market_Basket-number-TOP20.csv,BRUTE FORCE,0.01,5000,12851,199,589.9476535320282
Data/Online_Retail-formatted-code-number-TOP10.csv,BRUTE FORCE,0.01,5000,8813,99,0.5995724201202393
Data/Online_Retail-formatted-code-number-TOP20.csv,BRUTE FORCE,0.01,5000,11630,282,560.03178191185
Data/RetailScanner-formatted-category-number-TOP10.csv,BRUTE FORCE,0.01,5000,6806,28,0.5594041347503662
Data/RetailScanner-formatted-category-number-TOP20.csv,BRUTE FORCE,0.01,5000,8093,63,542.4805450439453
Data/Bakery-formatted-number-TOP10.csv,APRIORI-LIB,0.01,5000,7975,37,0.01642012596130371
Data/Bakery-formatted-number-TOP10.csv,APRIORI-LIB,0.05,5000,7975,13,0.01371622085571289
Data/Bakery-formatted-number-TOP20.csv,APRIORI-LIB,0.01,5000,8825,49,0.018941402435302734
Data/Bakery-formatted-number-TOP20.csv,APRIORI-LIB,0.05,5000,8825,10,0.014793634414672852
Data/Bakery-formatted-number-TOP30.csv,APRIORI-LIB,0.01,5000,9139,54,0.02055525779724121
Data/Bakery-formatted-number-TOP30.csv,APRIORI-LIB,0.05,5000,9139,9,0.01436161994934082
Data/Bakery-formatted-number-TOP40.csv,APRIORI-LIB,0.01,5000,9438,57,0.021549224853515625
Data/Bakery-formatted-number-TOP40.csv,APRIORI-LIB,0.05,5000,9438,9,0.015338659286499023
Data/Market_Basket-number-TOP10.csv,APRIORI-LIB,0.01,5000,10083,97,0.01949286460876465
Data/Market_Basket-number-TOP10.csv,APRIORI-LIB,0.05,5000,10083,19,0.016272306442260742
Data/Market_Basket-number-TOP20.csv,APRIORI-LIB,0.01,5000,12851,199,0.035529375076293945
Data/Market_Basket-number-TOP20.csv,APRIORI-LIB,0.05,5000,12851,24,0.019224166870117188
Data/Market_Basket-number-TOP30.csv,APRIORI-LIB,0.01,5000,15156,258,0.07748603820800781
Data/Market_Basket-number-TOP30.csv,APRIORI-LIB,0.05,5000,15156,32,0.022332191467285156
Data/Market_Basket-number-TOP40.csv,APRIORI-LIB,0.01,5000,16366,268,0.08468508720397949
Data/Market_Basket-number-TOP40.csv,APRIORI-LIB,0.05,5000,16366,31,0.024427175521850586
Data/Online_Retail-formatted-code-number-TOP10.csv,APRIORI-LIB,0.01,5000,8813,99,0.0181124210357666
Data/Online_Retail-formatted-code-number-TOP10.csv,APRIORI-LIB,0.05,5000,8813,13,0.015376567840576172
Data/Online_Retail-formatted-code-number-TOP20.csv,APRIORI-LIB,0.01,5000,11630,282,0.03616046905517578
Data/Online_Retail-formatted-code-number-TOP20.csv,APRIORI-LIB,0.05,5000,11630,21,0.01775050163269043
Data/Online_Retail-formatted-code-number-TOP30.csv,APRIORI-LIB,0.01,5000,14383,491,0.0730891227722168
Data/Online_Retail-formatted-code-number-TOP30.csv,APRIORI-LIB,0.05,5000,14383,29,0.022051334381103516
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI-LIB,0.01,5000,16342,702,0.14873003959655762
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI-LIB,0.05,5000,16342,35,0.024609804153442383
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI-LIB,0.01,5000,6806,28,0.01202249526977539
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI-LIB,0.05,5000,6806,11,0.010640144348144531
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI-LIB,0.01,5000,8093,63,0.017876148223876953
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI-LIB,0.05,5000,8093,16,0.012520551681518555
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI-LIB,0.01,5000,8485,73,0.019987821578979492
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI-LIB,0.05,5000,8485,12,0.013533353805541992
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI-LIB,0.01,5000,8925,79,0.047046661376953125
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI-LIB,0.05,5000,8925,10,0.013751506805419922
